country,date,movility_reduction,deaths,pop,pct,movility_in_t_minus_23
Italy,2020-02-26,1.8571428571428572,12,60769102,0.19999999999999996,
Italy,2020-02-27,2.7142857142857144,17,60769102,0.41666666666666674,
Italy,2020-02-28,3.5714285714285716,21,60769102,0.23529411764705888,
Italy,2020-02-29,4.142857142857143,29,60769102,0.38095238095238093,
Italy,2020-03-01,4.714285714285714,34,60769102,0.17241379310344818,
Italy,2020-03-02,4.857142857142857,52,60769102,0.5294117647058822,
Italy,2020-03-03,4.714285714285714,79,60769102,0.5192307692307692,
Italy,2020-03-04,4.428571428571429,107,60769102,0.35443037974683533,
Italy,2020-03-05,4.571428571428571,148,60769102,0.3831775700934579,
Italy,2020-03-06,5.0,197,60769102,0.33108108108108114,
Italy,2020-03-07,5.428571428571429,233,60769102,0.18274111675126914,
Italy,2020-03-08,5.714285714285714,366,60769102,0.5708154506437768,
Italy,2020-03-09,6.571428571428571,463,60769102,0.26502732240437155,-1.0
Italy,2020-03-10,8.285714285714286,631,60769102,0.36285097192224613,-1.5
Italy,2020-03-11,10.428571428571429,827,60769102,0.3106180665610143,-1.0
Italy,2020-03-12,12.857142857142858,827,60769102,0.0,-0.75
Italy,2020-03-13,15.714285714285714,1266,60769102,0.5308343409915357,-0.6
Italy,2020-03-14,18.428571428571427,1441,60769102,0.1382306477093207,-0.5
Italy,2020-03-15,20.714285714285715,1809,60769102,0.2553782095766828,-0.5714285714285714
Italy,2020-03-16,23.0,2158,60769102,0.19292426755113312,-0.5714285714285714
Italy,2020-03-17,24.857142857142858,2503,60769102,0.159870250231696,-0.2857142857142857
Italy,2020-03-18,26.428571428571427,2978,60769102,0.18977227327207347,0.2857142857142857
Italy,2020-03-19,27.428571428571427,3405,60769102,0.1433848220282068,1.0
Italy,2020-03-20,28.0,4032,60769102,0.1841409691629956,1.8571428571428572
Italy,2020-03-21,28.142857142857142,4825,60769102,0.1966765873015872,2.7142857142857144
Italy,2020-03-22,28.428571428571427,5476,60769102,0.13492227979274607,3.5714285714285716
Italy,2020-03-23,29.142857142857142,6077,60769102,0.10975164353542732,4.142857142857143
Italy,2020-03-24,29.571428571428573,6820,60769102,0.12226427513575788,4.714285714285714
Italy,2020-03-25,30.142857142857142,7503,60769102,0.10014662756598236,4.857142857142857
Italy,2020-03-26,30.714285714285715,8215,60769102,0.09489537518325997,4.714285714285714
Italy,2020-03-27,31.285714285714285,9134,60769102,0.11186853317102852,4.428571428571429
Italy,2020-03-28,31.428571428571427,10023,60769102,0.09732866214144953,4.571428571428571
Italy,2020-03-29,31.428571428571427,10779,60769102,0.0754265190062855,5.0
Italy,2020-03-30,31.428571428571427,11591,60769102,0.07533166341961217,5.428571428571429
Italy,2020-03-31,31.571428571428573,12428,60769102,0.0722111983435425,5.714285714285714
Italy,2020-04-01,31.428571428571427,13155,60769102,0.05849694238815584,6.571428571428571
Italy,2020-04-02,31.285714285714285,13915,60769102,0.0577727099961991,8.285714285714286
Italy,2020-04-03,31.142857142857142,14681,60769102,0.05504850880344958,10.428571428571429
Italy,2020-04-04,31.142857142857142,15362,60769102,0.046386485934200694,12.857142857142858
Italy,2020-04-05,31.142857142857142,15887,60769102,0.03417523759927099,15.714285714285714
Italy,2020-04-06,31.0,16523,60769102,0.04003273116384465,18.428571428571427
Italy,2020-04-07,30.714285714285715,17127,60769102,0.03655510500514425,20.714285714285715
Italy,2020-04-08,30.428571428571427,17669,60769102,0.031645939160390046,23.0
Italy,2020-04-09,30.142857142857142,18279,60769102,0.0345237421472635,24.857142857142858
Italy,2020-04-10,29.857142857142858,18849,60769102,0.031183325127195127,26.428571428571427
Italy,2020-04-11,29.714285714285715,19468,60769102,0.0328399384582736,27.428571428571427
Italy,2020-04-12,29.857142857142858,19899,60769102,0.022138894596260617,28.0
Italy,2020-04-13,31.142857142857142,20465,60769102,0.028443640383938984,28.142857142857142
Italy,2020-04-14,31.0,21067,60769102,0.029416076227705812,28.428571428571427
Italy,2020-04-15,30.857142857142858,21645,60769102,0.02743627474248833,29.142857142857142
Italy,2020-04-16,30.714285714285715,22170,60769102,0.02425502425502435,29.571428571428573
